CLUSTER NUMBER,CLUSTER ID,PROTEIN CLASS,GENE ID,MAPPED IDS,GENE NAME/GENE SYMBOL/ORTHOLOG,PANTHER FAMILY/SUBFAMILY,PANTHER PROTEIN CLASS,SPECIES
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",defense/immunity protein (PC00090),MOUSE|MGI=MGI=105983|UniProtKB=O08692,O08692,Neutrophilic granule protein;Ngp;ortholog,NEUTROPHILIC GRANULE PROTEIN (PTHR10206:SF0),antimicrobial response protein(PC00051),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",gene-specific transcriptional regulator (PC00264),MOUSE|MGI=MGI=1342770|UniProtKB=Q3UZ39,Q3UZ39,Leucine-rich repeat flightless-interacting protein 1;Lrrfip1;ortholog,LEUCINE-RICH REPEAT FLIGHTLESS-INTERACTING PROTEIN 1 (PTHR19212:SF5),DNA-binding transcription factor(PC00218),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",intercellular signal molecule (PC00207),MOUSE|MGI=MGI=99501|UniProtKB=Q8K0E8,Q8K0E8,Fibrinogen beta chain;Fgb;ortholog,FIBRINOGEN BETA CHAIN (PTHR19143:SF332),intercellular signal molecule(PC00207),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97552|UniProtKB=Q9DBJ1,Q9DBJ1,Phosphoglycerate mutase 1;Pgam1;ortholog,PHOSPHOGLYCERATE MUTASE 1 (PTHR11931:SF15),mutase(PC00160),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97553|UniProtKB=Q9DCD0,Q9DCD0,"6-phosphogluconate dehydrogenase, decarboxylating;Pgd;ortholog","6-PHOSPHOGLUCONATE DEHYDROGENASE, DECARBOXYLATING (PTHR11811:SF25)",dehydrogenase(PC00092),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1330860|UniProtKB=O35744,O35744,Chitinase-like protein 3;Chil3;ortholog,CHITINASE-LIKE PROTEIN 3-RELATED (PTHR11177:SF140),glycosidase(PC00110),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1921395|UniProtKB=Q8BH61,Q8BH61,Coagulation factor XIII A chain;F13a1;ortholog,COAGULATION FACTOR XIII A CHAIN (PTHR11590:SF42),transferase(PC00220),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=87994|UniProtKB=P05064,P05064,Fructose-bisphosphate aldolase A;Aldoa;ortholog,FRUCTOSE-BISPHOSPHATE ALDOLASE A (PTHR11627:SF1),aldolase(PC00044),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97829|UniProtKB=Q9ET01,Q9ET01,"Glycogen phosphorylase, liver form;Pygl;ortholog","GLYCOGEN PHOSPHORYLASE, LIVER FORM (PTHR11468:SF26)",glycosyltransferase(PC00111),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=95393|UniProtKB=P17182,P17182,Alpha-enolase;Eno1;ortholog,ALPHA-ENOLASE (PTHR11902:SF12),lyase(PC00144),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=88070|UniProtKB=Q61176,Q61176,Arginase-1;Arg1;ortholog,ARGINASE-1 (PTHR43782:SF2),hydrolase(PC00121),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97591|UniProtKB=P52480,P52480,Pyruvate kinase PKM;Pkm;ortholog,PYRUVATE KINASE PKM (PTHR11817:SF15),kinase(PC00137),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97137|UniProtKB=P11247,P11247,Myeloperoxidase;Mpo;ortholog,MYELOPEROXIDASE (PTHR11475:SF108),peroxidase(PC00180),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=105979|UniProtKB=Q00612,Q00612,Glucose-6-phosphate 1-dehydrogenase X;G6pdx;ortholog,GLUCOSE-6-PHOSPHATE 1-DEHYDROGENASE (PTHR23429:SF0),dehydrogenase(PC00092),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=95797|UniProtKB=P06745,P06745,Glucose-6-phosphate isomerase;Gpi;ortholog,GLUCOSE-6-PHOSPHATE ISOMERASE (PTHR11469:SF1),isomerase(PC00135),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=105992|UniProtKB=P40142,P40142,Transketolase;Tkt;ortholog,TRANSKETOLASE (PTHR43195:SF3),transketolase(PC00221),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=107460|UniProtKB=P56391,P56391,Cytochrome c oxidase subunit 6B1;Cox6b1;ortholog,CYTOCHROME C OXIDASE SUBUNIT 6B1 (PTHR11387:SF16),oxidase(PC00175),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",nucleic acid metabolism protein (PC00171),MOUSE|MGI=MGI=99894|UniProtKB=P61979,P61979,Heterogeneous nuclear ribonucleoprotein K;Hnrnpk;ortholog,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN K (PTHR10288:SF307),RNA metabolism protein(PC00031),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",protein modifying enzyme (PC00260) ,MOUSE|MGI=MGI=96055|UniProtKB=P29351,P29351,Tyrosine-protein phosphatase non-receptor type 6;Ptpn6;ortholog,TYROSINE-PROTEIN PHOSPHATASE NON-RECEPTOR TYPE 6 (PTHR46257:SF4),protein phosphatase(PC00195),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=2178103|UniProtKB=Q99PT1,Q99PT1,Rho GDP-dissociation inhibitor 1;Arhgdia;ortholog,RHO GDP-DISSOCIATION INHIBITOR 1 (PTHR10980:SF9),G-protein modulator(PC00022),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=102772|UniProtKB=Q9Z0E6,Q9Z0E6,Guanylate-binding protein 2;Gbp2;ortholog,GUANYLATE-BINDING PROTEIN 2 (PTHR10751:SF112),heterotrimeric G-protein(PC00117),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=1352757|UniProtKB=Q9JKF1,Q9JKF1,Ras GTPase-activating-like protein IQGAP1;Iqgap1;ortholog,RAS GTPASE-ACTIVATING-LIKE PROTEIN IQGAP1 (PTHR14149:SF15),GTPase-activating protein(PC00257),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=101940|UniProtKB=Q61599,Q61599,Rho GDP-dissociation inhibitor 2;Arhgdib;ortholog,RHO GDP-DISSOCIATION INHIBITOR 2 (PTHR10980:SF15),G-protein modulator(PC00022),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=88283|UniProtKB=P19324,P19324,Serpin H1;Serpinh1;ortholog,SERPIN H1 (PTHR11461:SF27),protease inhibitor(PC00191),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",scaffold/adaptor protein (PC00226) ,MOUSE|MGI=MGI=109484|UniProtKB=P63101,P63101,14-3-3 protein zeta/delta;Ywhaz;ortholog,14-3-3 PROTEIN ZETA/DELTA (PTHR18860:SF7),scaffold/adaptor protein(PC00226),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",storage protein (PC00210)  ,MOUSE|MGI=MGI=95588|UniProtKB=P09528,P09528,Ferritin heavy chain;Fth1;ortholog,FERRITIN HEAVY CHAIN (PTHR11431:SF37),storage protein(PC00210),Mus musculus
Cluster 2,"Interface 4DPI & 10DPI, SAC 4DPI & 10DPI",transfer/carrier protein (PC00219) ,MOUSE|MGI=MGI=96837|UniProtKB=P08071,P08071,Lactotransferrin;Ltf;ortholog,LACTOTRANSFERRIN (PTHR11485:SF55),transfer/carrier protein(PC00219),Mus musculus
Cluster 3,Cortex 4DPI,chaperone (PC00072)  ,MOUSE|MGI=MGI=104680|UniProtKB=Q64433,Q64433,"10 kDa heat shock protein, mitochondrial;Hspe1;ortholog","10 KDA HEAT SHOCK PROTEIN, MITOCHONDRIAL (PTHR10772:SF0)",chaperonin(PC00073),Mus musculus
Cluster 3,Cortex 4DPI,chaperone (PC00072)  ,MOUSE|MGI=MGI=97749|UniProtKB=P17742,P17742,Peptidyl-prolyl cis-trans isomerase A;Ppia;ortholog,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A (PTHR11071:SF490),chaperone(PC00072),Mus musculus
Cluster 3,Cortex 4DPI,"chromatin/chromatin-binding, or -regulatory protein (PC00077)",MOUSE|MGI=MGI=1924855|UniProtKB=Q3THW5,Q3THW5,Histone H2A.V;H2az2;ortholog,HISTONE H2A.V (PTHR23430:SF280),histone(PC00118),Mus musculus
Cluster 3,Cortex 4DPI,cytoskeletal protein (PC00085)  ,MOUSE|MGI=MGI=87905|UniProtKB=P68033,P68033,"Actin, alpha cardiac muscle 1;Actc1;ortholog","ACTIN, ALPHA CARDIAC MUSCLE 1 (PTHR11937:SF176)",actin and actin related protein(PC00039),Mus musculus
Cluster 3,Cortex 4DPI,cytoskeletal protein (PC00085)  ,MOUSE|MGI=MGI=99705|UniProtKB=D3Z2H9,D3Z2H9,"Tropomyosin 3, related sequence 7;Tpm3-rs7;ortholog","TROPOMYOSIN 3, RELATED SEQUENCE 7 (PTHR19269:SF73)",actin binding motor protein(PC00040),Mus musculus
Cluster 3,Cortex 4DPI,cytoskeletal protein (PC00085)  ,MOUSE|MGI=MGI=98930|UniProtKB=Q62468,Q62468,Villin-1;Vil1;ortholog,VILLIN-1 (PTHR11977:SF35),non-motor actin binding protein(PC00165),Mus musculus
Cluster 3,Cortex 4DPI,cytoskeletal protein (PC00085)  ,MOUSE|MGI=MGI=107804|UniProtKB=P05213,P05213,Tubulin alpha-1B chain;Tuba1b;ortholog,TUBULIN ALPHA-1B CHAIN (PTHR11588:SF251),tubulin(PC00228),Mus musculus
Cluster 3,Cortex 4DPI,cytoskeletal protein (PC00085)  ,MOUSE|MGI=MGI=2444552|UniProtKB=Q8BFZ3,Q8BFZ3,Beta-actin-like protein 2;Actbl2;ortholog,BETA-ACTIN-LIKE PROTEIN 2 (PTHR11937:SF168),actin and actin related protein(PC00039),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=98266|UniProtKB=Q64442,Q64442,Sorbitol dehydrogenase;Sord;ortholog,SORBITOL DEHYDROGENASE (PTHR43161:SF9),dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=95492|UniProtKB=Q9QXD6,Q9QXD6,"Fructose-1,6-bisphosphatase 1;Fbp1;ortholog","FRUCTOSE-1,6-BISPHOSPHATASE 1 (PTHR11556:SF11)",carbohydrate phosphatase(PC00066),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=87867|UniProtKB=P45952,P45952,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial;Acadm;ortholog","MEDIUM-CHAIN SPECIFIC ACYL-COA DEHYDROGENASE, MITOCHONDRIAL (PTHR48083:SF2)",dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=97051|UniProtKB=P14152,P14152,"Malate dehydrogenase, cytoplasmic;Mdh1;ortholog","MALATE DEHYDROGENASE, CYTOPLASMIC (PTHR23382:SF3)",dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=98797|UniProtKB=P17751,P17751,Triosephosphate isomerase;Tpi1;ortholog,TRIOSEPHOSPHATE ISOMERASE (PTHR21139:SF33),isomerase(PC00135),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1306824|UniProtKB=Q9Z2I8,Q9Z2I8,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial;Suclg2;ortholog","SUCCINATE--COA LIGASE [GDP-FORMING] SUBUNIT BETA, MITOCHONDRIAL (PTHR11815:SF10)",ligase(PC00142),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1095401|UniProtKB=P52760,P52760,2-iminobutanoate/2-iminopropanoate deaminase;Rida;ortholog,2-IMINOBUTANOATE/2-IMINOPROPANOATE DEAMINASE (PTHR11803:SF53),deaminase(PC00088),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=2385084|UniProtKB=Q8VC30,Q8VC30,Triokinase/FMN cyclase;Tkfc;ortholog,TRIOKINASE/FMN CYCLASE (PTHR28629:SF4),cyclase(PC00079),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=96763|UniProtKB=P16125,P16125,L-lactate dehydrogenase B chain;Ldhb;ortholog,L-LACTATE DEHYDROGENASE B CHAIN (PTHR43128:SF2),dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=3708786|UniProtKB=A0A1D5RLD8,A0A1D5RLD8,Glyceraldehyde-3-phosphate dehydrogenase;Gm10358;ortholog,GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE (PTHR10836:SF111),dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=106098|UniProtKB=Q9DCW4,Q9DCW4,Electron transfer flavoprotein subunit beta;Etfb;ortholog,ELECTRON TRANSFER FLAVOPROTEIN SUBUNIT BETA (PTHR21294:SF8),oxidoreductase(PC00176),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=87880|UniProtKB=Q99KI0,Q99KI0,"Aconitate hydratase, mitochondrial;Aco2;ortholog","ACONITATE HYDRATASE, MITOCHONDRIAL (PTHR43160:SF3)",hydratase(PC00120),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=88090|UniProtKB=P16460,P16460,Argininosuccinate synthase;Ass1;ortholog,ARGININOSUCCINATE SYNTHASE (PTHR11587:SF2),ligase(PC00142),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=2385289|UniProtKB=Q8K0L3,Q8K0L3,"Acyl-coenzyme A synthetase ACSM2, mitochondrial;Acsm2;ortholog","ACYL-COENZYME A SYNTHETASE ACSM2B, MITOCHONDRIAL (PTHR43605:SF3)",ligase(PC00142),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1095417|UniProtKB=P13745,P13745,Glutathione S-transferase A1;Gsta1;ortholog,GLUTATHIONE S-TRANSFERASE-RELATED (PTHR11571:SF233),transferase(PC00220),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=88271|UniProtKB=P24270,P24270,Catalase;Cat;ortholog,CATALASE (PTHR11465:SF9),peroxidase(PC00180),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1098623|UniProtKB=Q8BWT1,Q8BWT1,"3-ketoacyl-CoA thiolase, mitochondrial;Acaa2;ortholog","3-KETOACYL-COA THIOLASE, MITOCHONDRIAL (PTHR18919:SF107)",acyltransferase(PC00042),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1861622|UniProtKB=Q9JLJ2,Q9JLJ2,4-trimethylaminobutyraldehyde dehydrogenase;Aldh9a1;ortholog,4-TRIMETHYLAMINOBUTYRALDEHYDE DEHYDROGENASE (PTHR11699:SF228),dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1340024|UniProtKB=Q8R0Y6,Q8R0Y6,Cytosolic 10-formyltetrahydrofolate dehydrogenase;Aldh1l1;ortholog,CYTOSOLIC 10-FORMYLTETRAHYDROFOLATE DEHYDROGENASE (PTHR11699:SF120),dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1277964|UniProtKB=Q9DBM2,Q9DBM2,Peroxisomal bifunctional enzyme;Ehhadh;ortholog,PEROXISOMAL BIFUNCTIONAL ENZYME (PTHR23309:SF49),dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1914195|UniProtKB=Q8K2B3,Q8K2B3,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial;Sdha;ortholog","SUCCINATE DEHYDROGENASE [UBIQUINONE] FLAVOPROTEIN SUBUNIT, MITOCHONDRIAL (PTHR11632:SF51)",dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=95753|UniProtKB=P26443,P26443,"Glutamate dehydrogenase 1, mitochondrial;Glud1;ortholog","GLUTAMATE DEHYDROGENASE 1, MITOCHONDRIAL (PTHR11606:SF13)",dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=88284|UniProtKB=P48758,P48758,Carbonyl reductase [NADPH] 1;Cbr1;ortholog,CARBONYL REDUCTASE [NADPH] 1 (PTHR43963:SF2),reductase(PC00198),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=95792|UniProtKB=P05202,P05202,"Aspartate aminotransferase, mitochondrial;Got2;ortholog","ASPARTATE AMINOTRANSFERASE, MITOCHONDRIAL (PTHR11879:SF22)",transaminase(PC00216),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=2443883|UniProtKB=Q8CHT0,Q8CHT0,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial;Aldh4a1;ortholog","DELTA-1-PYRROLINE-5-CARBOXYLATE DEHYDROGENASE, MITOCHONDRIAL (PTHR14516:SF3)",dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=96413|UniProtKB=O88844,O88844,Isocitrate dehydrogenase [NADP] cytoplasmic;Idh1;ortholog,"ISOCITRATE DEHYDROGENASE [NADP], MITOCHONDRIAL (PTHR11822:SF21)",dehydrogenase(PC00092),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1859821|UniProtKB=P99029,P99029,"Peroxiredoxin-5, mitochondrial;Prdx5;ortholog","PEROXIREDOXIN-5, MITOCHONDRIAL (PTHR10430:SF16)",oxidoreductase(PC00176),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=87995|UniProtKB=Q91Y97,Q91Y97,Fructose-bisphosphate aldolase B;Aldob;ortholog,FRUCTOSE-BISPHOSPHATE ALDOLASE B (PTHR11627:SF2),aldolase(PC00044),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=1929955|UniProtKB=Q9JII6,Q9JII6,Aldo-keto reductase family 1 member A1;Akr1a1;ortholog,ALDO-KETO REDUCTASE FAMILY 1 MEMBER A1 (PTHR11732:SF421),reductase(PC00198),Mus musculus
Cluster 3,Cortex 4DPI,metabolite interconversion enzyme (PC00262) ,MOUSE|MGI=MGI=87870|UniProtKB=Q8QZT1,Q8QZT1,"Acetyl-CoA acetyltransferase, mitochondrial;Acat1;ortholog","ACETYL-COA ACETYLTRANSFERASE, MITOCHONDRIAL (PTHR18919:SF156)",acyltransferase(PC00042),Mus musculus
Cluster 3,Cortex 4DPI,nucleic acid metabolism protein (PC00171) ,MOUSE|MGI=MGI=99894|UniProtKB=P61979,P61979,Heterogeneous nuclear ribonucleoprotein K;Hnrnpk;ortholog,HETEROGENEOUS NUCLEAR RIBONUCLEOPROTEIN K (PTHR10288:SF307),RNA metabolism protein(PC00031),Mus musculus
Cluster 3,Cortex 4DPI,protein modifying enzyme (PC00260) ,MOUSE|MGI=MGI=105112|UniProtKB=Q91X72,Q91X72,Hemopexin;Hpx;ortholog,HEMOPEXIN (PTHR10201:SF136),metalloprotease(PC00153),Mus musculus
Cluster 3,Cortex 4DPI,protein modifying enzyme (PC00260) ,MOUSE|MGI=MGI=96211|UniProtKB=Q61646,Q61646,Haptoglobin;Hp;ortholog,HAPTOGLOBIN-RELATED PROTEIN (PTHR24255:SF27),serine protease(PC00203),Mus musculus
Cluster 3,Cortex 4DPI,protein modifying enzyme (PC00260) ,MOUSE|MGI=MGI=1341799|UniProtKB=Q62433,Q62433,Protein NDRG1;Ndrg1;ortholog,PROTEIN NDRG1 (PTHR11034:SF18),serine protease(PC00203),Mus musculus
Cluster 3,Cortex 4DPI,protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=87854|UniProtKB=Q61838,Q61838,Pregnancy zone protein;Pzp;ortholog,PREGNANCY ZONE PROTEIN (PTHR11412:SF116),protease inhibitor(PC00191),Mus musculus
Cluster 3,Cortex 4DPI,protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=891970|UniProtKB=P22599,P22599,Alpha-1-antitrypsin 1-2;Serpina1b;ortholog,ALPHA-1-ANTITRYPSIN (PTHR11461:SF165),protease inhibitor(PC00191),Mus musculus
Cluster 3,Cortex 4DPI,protein-binding activity modulator (PC00095) ,MOUSE|MGI=MGI=2178103|UniProtKB=Q99PT1,Q99PT1,Rho GDP-dissociation inhibitor 1;Arhgdia;ortholog,RHO GDP-DISSOCIATION INHIBITOR 1 (PTHR10980:SF9),G-protein modulator(PC00022),Mus musculus
Cluster 3,Cortex 4DPI,transfer/carrier protein (PC00219) ,MOUSE|MGI=MGI=98821|UniProtKB=Q921I1,Q921I1,Serotransferrin;Tf;ortholog,SEROTRANSFERRIN (PTHR11485:SF31),transfer/carrier protein(PC00219),Mus musculus
Cluster 3,Cortex 4DPI,transfer/carrier protein (PC00219) ,MOUSE|MGI=MGI=87991|UniProtKB=P07724,P07724,Albumin;Alb;ortholog,ALBUMIN (PTHR11385:SF15),transfer/carrier protein(PC00219),Mus musculus
Cluster 3,Cortex 4DPI,transfer/carrier protein (PC00219) ,MOUSE|MGI=MGI=1353496|UniProtKB=P51881,P51881,ADP/ATP translocase 2;Slc25a5;ortholog,ADP/ATP TRANSLOCASE 2 (PTHR45635:SF3),transfer/carrier protein(PC00219),Mus musculus
Cluster 3,Cortex 4DPI,transfer/carrier protein (PC00219) ,MOUSE|MGI=MGI=94865|UniProtKB=P31786,P31786,Acyl-CoA-binding protein;Dbi;ortholog,ACYL-COA-BINDING PROTEIN (PTHR23310:SF54),transfer/carrier protein(PC00219),Mus musculus
Cluster 3,Cortex 4DPI,translational protein (PC00263)  ,MOUSE|MGI=MGI=1096881|UniProtKB=P10126,P10126,Elongation factor 1-alpha 1;Eef1a1;ortholog,ELONGATION FACTOR 1-ALPHA 1-RELATED (PTHR23115:SF222),translation factor(PC00223),Mus musculus
Cluster 3,Cortex 4DPI,transporter (PC00227)  ,MOUSE|MGI=MGI=106919|UniProtKB=Q60932,Q60932,Voltage-dependent anion-selective channel protein 1;Vdac1;ortholog,VOLTAGE-DEPENDENT ANION-SELECTIVE CHANNEL PROTEIN 1 (PTHR11743:SF13),voltage-gated ion channel(PC00241),Mus musculus
Cluster 3,Cortex 4DPI,transporter (PC00227)  ,MOUSE|MGI=MGI=1918929|UniProtKB=Q9DCX2,Q9DCX2,"ATP synthase subunit d, mitochondrial;Atp5pd;ortholog","ATP SYNTHASE SUBUNIT D, MITOCHONDRIAL (PTHR12700:SF12)",ATP synthase(PC00002),Mus musculus
Cluster 3,Cortex 4DPI,transporter (PC00227)  ,MOUSE|MGI=MGI=107777|UniProtKB=P97450,P97450,"ATP synthase-coupling factor 6, mitochondrial;Atp5pf;ortholog","ATP SYNTHASE-COUPLING FACTOR 6, MITOCHONDRIAL (PTHR12441:SF10)",ATP synthase(PC00002),Mus musculus
Cluster 3,Cortex 4DPI,transporter (PC00227)  ,MOUSE|MGI=MGI=88105|UniProtKB=Q8VDN2,Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1;Atp1a1;ortholog,SODIUM/POTASSIUM-TRANSPORTING ATPASE SUBUNIT ALPHA-1 (PTHR43294:SF9),primary active transporter(PC00068),Mus musculus
Cluster 3,Cortex 4DPI,transporter (PC00227)  ,MOUSE|MGI=MGI=107801|UniProtKB=P56480,P56480,"ATP synthase subunit beta, mitochondrial;Atp5f1b;ortholog","ATP SYNTHASE SUBUNIT BETA, MITOCHONDRIAL (PTHR15184:SF60)",ATP synthase(PC00002),Mus musculus
Cluster 3,Cortex 4DPI,transporter (PC00227)  ,MOUSE|MGI=MGI=88108|UniProtKB=P14094,P14094,Sodium/potassium-transporting ATPase subunit beta-1;Atp1b1;ortholog,SODIUM/POTASSIUM-TRANSPORTING ATPASE SUBUNIT BETA-1 (PTHR11523:SF10),primary active transporter(PC00068),Mus musculus
Cluster 3,Cortex 4DPI,transporter (PC00227)  ,MOUSE|MGI=MGI=88115|UniProtKB=Q03265,Q03265,"ATP synthase subunit alpha, mitochondrial;Atp5f1a;ortholog","ATP SYNTHASE SUBUNIT ALPHA, MITOCHONDRIAL (PTHR48082:SF2)",ATP synthase(PC00002),Mus musculus
Cluster 3,Cortex 4DPI,transporter (PC00227)  ,MOUSE|MGI=MGI=106341|UniProtKB=Q9DB20,Q9DB20,"ATP synthase subunit O, mitochondrial;Atp5po;ortholog","ATP SYNTHASE SUBUNIT O, MITOCHONDRIAL (PTHR11910:SF1)",ATP synthase(PC00002),Mus musculus
